Power_mean,Amplitude_mean,Weighted_Mean_Frequency_mean,Power_std,Amplitude_std,Weighted_Mean_Frequency_std,Power_median,Amplitude_median,Weighted_Mean_Frequency_median,Genre
668186617.5276766,510.6144897242431,6950.065581281622,669921348.195263,1.529034354014217,2975.9803142394003,466124512.9786067,511.07566803477465,6298.054710279734,[-658 -573  137 ...  634  910 1026]
479430583.9253918,510.3076484148715,4693.946662760012,441582172.4557073,2.0827089728631463,1447.6676120252248,346922403.53456426,510.75238263834336,4538.313125457149,[ -373   -71   553 ...  -968 -1240 -1286]
923608448.7214624,511.3148124264984,8832.224023858837,692434701.1532563,0.650702496160522,2719.519841000374,724286672.4173703,511.4955334687202,8549.750309757335,[-1326 -2561 -2863 ... -2148 -1412  -965]
532818278.2547171,510.7386512557435,5025.2240633839465,800755968.9226668,1.620068902799727,2691.855321627033,271144095.44305074,511.2217561081654,4925.022248762976,[ -273  -740 -1431 ...   152  -103  -210]
874375544.5520678,510.94923879599446,7688.359608046536,719603237.6094854,0.9505746229752445,2067.0391169899212,674560551.3642642,511.19494066452023,7584.743401388674,[ -353  -656  -795 ... -3446 -3623 -3008]
1071103217.3931799,510.8361104650961,8593.706375116639,1054259183.215397,1.7199914381234291,4774.66498390925,840792524.9460144,511.38252746428634,9304.49243019774,[ -806 -1457 -1451 ...   -36   -30   -50]
635997137.1037701,510.11101629380926,6191.048243991575,802901457.3795767,2.153757768204013,3640.040123390836,363160376.00137514,510.7578743849693,5370.564962761349,[-498 -808 -477 ...  -85 -165 -201]
1057957026.585525,508.6363761171409,7622.391588962447,1375434646.1499138,10.33357534636181,5243.1928833963075,472706612.06257844,510.87788393852225,6372.564820722409,[-2258 -3319 -2477 ...  5577  5957  5371]
705521107.3039142,510.38409511131897,6413.884305490335,843859044.1098112,2.1020191272621327,3981.4699565850633,402898797.7739743,511.1280177945831,6015.089862219959,[ 504  684  367 ... 1986 2075 1211]
335422034.0695138,509.4315856088088,3886.9975715156,385484817.6605587,3.3503056245710194,2323.8043411343365,227893443.62277442,510.5275142710596,3554.131646318225,[  477   685   470 ... -1085 -1135 -1143]
555626466.3237393,509.5561038417067,5502.631316841802,781420407.791848,3.5008131523360917,3980.07308410357,257820542.04543012,510.842670289326,4424.2197957074,[ 435  940 1097 ... 1295 1949 2070]
237920343.9690643,509.7214279792796,3383.2092205188737,242872969.77323335,2.0465783259577224,1260.937026918285,170995533.1489925,510.24059517373803,3184.3405215930893,[ 540 1080 1327 ...  -29   -3   63]
701280599.7551982,507.1047101560014,5098.469201150692,981248152.7547302,8.8929099227726,3941.56214937361,259045911.025574,510.1050151261141,4404.367051618248,[-1094 -1325  -767 ...  -177    32   132]
738149599.1750315,509.7322279485452,5935.294402112246,1175133672.9026062,3.3279859626007284,5588.66382428639,242351622.9205831,510.91258214295317,3958.7026357724267,[-170 -237  -81 ...  412  -27 -365]
701037414.2322788,509.8679814979558,5701.776972753146,1223170493.6571004,2.365977858730072,5112.8783050292395,214178199.90408897,510.60033460175697,3630.598456480694,[ -880 -2069 -1910 ...  1085  1156  1007]
95695626.46199635,504.4662743385754,1841.3657602915503,171838703.84285092,7.455303398769016,1520.783550104085,24036997.590448566,506.7146520739119,1215.9067908087045,[ 37  86 112 ... 433 409 349]
35801077.82345388,506.926408285758,1227.989435309525,41467842.946173914,5.564447260946532,750.2690380980113,23345053.14616993,508.4888748159237,1017.6098338705735,[ -66 -100  -85 ... -127 -415 -633]
1059021785.7611697,510.31994121757066,7431.784065276418,1573202474.6993105,2.1249141785387486,6927.064287734761,176527963.74238724,511.0852430355446,3325.2626016844015,[ -774 -1185  -970 ...   -66  -180  -277]
293417994.0256047,507.83213289880854,3170.1230184402257,848791903.3333917,5.112793496322165,3504.5741709602125,101491150.48864684,509.5579159090564,2449.1638522038984,[247 375 339 ... 252 303 237]
40965698.897061855,503.12244035304076,1315.331803653902,67066179.22685893,10.977707799635384,883.4504686148537,18420054.829834983,507.02457373557104,1140.8248312118255,[ -19  -57  -85 ... -147  -89  -95]
864111838.7961619,510.18129302682905,7131.50354775483,996525540.6512455,2.865551706396536,4544.208561280813,480924193.19871753,511.03591607109445,6075.249629923916,[-1700 -2181 -1345 ...  2646  2178  1370]
1560885151.183811,510.19574439446956,9447.933513686286,2280892679.8176637,2.123571890333441,8889.347487602838,242409793.06914955,511.02080444524586,4029.3156163909107,[  635   184  -905 ... -3831 -4491 -4507]
1392209236.7650769,510.58526585346857,9171.090220234813,1498490511.7684958,3.903823749626733,6018.160393700952,795505707.7075372,511.5442918385374,9204.505884447699,[ -312  -165   117 ... -1724 -1603 -1352]
148060152.82694116,506.61370814941006,2672.648214615438,119340557.80092576,5.690747911093239,1165.1143265288977,116282929.38333133,507.9905969130138,2590.6457241570174,[-232 -300 -190 ...  321  999 1564]
2183744348.457705,511.577239792912,12467.423025815187,1738554948.8058586,0.4094172311911086,4488.346454765429,1705555365.58049,511.6828167143652,12438.729363086068,[-1237 -2367 -2701 ...   742   101  -347]
2028695619.0335658,511.54495191011233,12082.62086119458,1598368094.8918877,0.4782195034288278,4068.2036780617,1523692794.4741426,511.67964572086635,11633.7734188973,[ 313  611  661 ... 1022 1310 1568]
1213091437.3710923,510.1504456499676,7388.959060260743,2124762820.5465786,2.4150676208322457,7732.951830701948,236237659.72255722,511.0183058549273,3921.079713280113,[-2621 -3059 -1081 ... -2266 -2108 -1906]
442608149.10547376,510.63288725621766,4486.818543300214,418818976.3172528,1.5443921977992872,2479.15697397617,266743646.95236588,511.131639521172,3582.4660562395534,[232 390 404 ... 430 447 398]
1988971128.5156934,511.3172282062583,12081.269189725568,1798529187.120343,1.3930780252023804,5257.380987037796,1491883566.8111625,511.5911492582268,11447.393180343013,[ -628 -1515 -2281 ...  -273   462  1217]
1290929584.842795,509.7960715994618,8487.3132578517,1868223230.456285,3.543182735616172,7321.254833131857,438888465.8449967,511.286711362423,5349.249201958179,[  229   236   118 ... -4057 -5294 -6231]
507600989.3791053,509.9272782754758,5129.395874501225,608496435.8024226,1.9110899216400044,2714.9421923372174,299149652.2365941,510.488857168872,4849.31613011498,[-131 -284 -259 ...  301  327  306]
453499674.5833296,508.9385924857389,3979.606448422859,825895072.3555874,3.334559308810687,3252.7250066423735,162237738.13730258,509.849302224102,2937.1003574688857,[-1753 -2767 -2488 ...  -412  -531  -584]
37369666.707783476,511.7638360097693,1145.5875810166303,47220756.95408694,0.1821225020843281,614.7650419074397,17203614.34015733,511.80654824538914,940.3443794962664,[  26   57   60 ... -132 -147 -139]
145370165.51112655,504.8586832157652,2008.8229583646807,473928259.9181947,8.314340702434361,2008.2092794935784,25914702.987985693,507.19648998686347,1248.5817134268057,[-144 -217 -202 ... -159 -263 -302]
955920202.2074817,509.8775583308733,6647.978721567732,1528901719.6496031,2.334544404939199,4690.3234941927585,423859069.9165769,510.5173417466851,5224.196212188082,[  517  1012  1130 ... -1117 -1096  -984]
996606870.127963,509.6014418127327,6414.580817951499,1607968044.293706,2.9811923619986147,4414.391504391931,446091885.8457935,510.5475778800605,5520.618240238304,[305 471 375 ... 347 461 567]
195162635.1731577,510.7666268151893,2171.6390668253152,395195605.54071414,2.0470091631826826,1626.8755382998384,51333768.53212521,511.6694537916492,1631.4694916100862,[ 55 129 105 ... -22 -27 -30]
1144646244.7450273,509.96370196806845,7915.243722135129,2268635599.543014,2.5019091548794026,5756.316924365044,471422965.1579629,510.6890152822513,6682.428486263195,[3468 4256 1537 ...    0   37   62]
1334515616.8396285,509.6757244408326,8544.249516981252,2284994013.7868533,2.588245594522663,6698.193106422439,507978185.27235806,510.62557509913285,6315.429269421973,[-2544 -3963 -3267 ... -2644 -3571 -4205]
167448681.73142806,503.14300973219366,2303.6131607615375,570726202.225513,11.042676084934085,2761.071162850919,26333123.973034464,506.8726729020001,1354.6619268278002,[-754 -978 -642 ...   50   97   55]
244063148.0868781,507.3363543553921,3638.127798922845,425609323.79597217,5.4500663559666265,2680.2589657331737,136398414.7649576,509.10651401898036,2971.0626179094616,[ 185  268  204 ... -173 -171 -149]
444010867.7382135,506.9705994186078,3618.2449005578706,1199851475.806606,5.447933606730565,3748.2402210047203,58063296.37517983,508.96571564657535,2055.104680145756,[-217 -301 -200 ...  113   53   39]
9033516593.306686,511.11086387792716,25741.15782161423,7012476203.334938,0.6883563219671135,10638.879814583563,7106353344.099737,511.28834513027095,24757.650562576702,[ -580   541  1710 ...  -644 -1951 -3000]
7086626421.296399,510.2569672989172,14961.896087074509,6058198044.673137,2.7268307216663294,7197.023642734873,5623640233.996912,510.99254858148777,14602.28803885404,[1853 1577 1026 ...    0    0    0]
160365078.53114352,509.48511613657274,2822.2751495271327,135289095.575154,2.4407057949043724,1093.0577981691713,127796880.45070876,510.1946847490217,2787.400669744552,[425 353 290 ... -86 -31  63]
